"filename";"fold"
"ALCB002322.jpg";1
"ALCB002325.jpg";1
"ALCB002327.jpg";1
"ALCB002328.jpg";1
"ALCB002330.jpg";1
"ALCB002331.jpg";1
"ALCB002332.jpg";1
"ALCB002333.jpg";1
"ALCB002334.jpg";1
"ALCB002335.jpg";1
"ALCB002344.jpg";1
"ALCB002344_1.jpg";1
"ALCB002344_2.jpg";1
"ALCB002345.jpg";1
"ALCB002348.jpg";1
"ALCB002365.jpg";1
"ALCB002370.jpg";1
"ALCB002375.jpg";1
"ALCB002376.jpg";1
"ALCB002377.jpg";1
"ALCB002378.jpg";1
"ALCB002378_1.jpg";1
"ALCB002379.jpg";1
"ALCB002380.jpg";1
"ALCB002381.jpg";1
"ALCB002382.jpg";1
"ALCB002383.jpg";1
"ALCB002384.jpg";1
"ALCB002393.jpg";1
"ALCB002394.jpg";1
"ALCB002395.jpg";1
"ALCB002396.jpg";1
"ALCB002398.jpg";1
"ALCB002400.jpg";1
"ALCB002401.jpg";1
"ALCB002405.jpg";1
"ALCB002407.jpg";1
"ALCB002408.jpg";1
"ALCB002409.jpg";1
"ALCB002410.jpg";1
"ALCB002414.jpg";1
"ALCB002414_1.jpg";1
"ALCB002416.jpg";1
"ALCB002416_1.jpg";1
"ALCB002416_2.jpg";1
"ALCB002416_3.jpg";1
"ALCB002416_4.jpg";1
"ALCB002417.jpg";1
"ALCB002418.jpg";1
"ALCB002428.jpg";1
"ALCB002429.jpg";1
"ALCB002430.jpg";1
"ALCB002437.jpg";1
"ALCB002438.jpg";1
"ALCB002439.jpg";1
"ALCB002440.jpg";1
"ALCB002449.jpg";1
"ALCB002452.jpg";1
"ALCB002454.jpg";1
"ALCB002457.jpg";1
"ALCB002459.jpg";1
"ALCB002466.jpg";1
"ALCB002468.jpg";1
"ALCB002469.jpg";1
"ALCB002476.jpg";1
"ALCB002482.jpg";1
"ALCB002483.jpg";1
"ALCB002484.jpg";1
"ALCB002486.jpg";1
"ALCB002487.jpg";1
"ALCB002488.jpg";1
"ALCB002489.jpg";1
"ALCB002489_1.jpg";1
"ALCB002490.jpg";1
"ALCB002491.jpg";1
"ALCB002492.jpg";1
"ALCB002493.jpg";1
"ALCB002496.jpg";1
"ALCB002497.jpg";1
"ALCB002497_1.jpg";1
"ALCB002498.jpg";1
"ALCB002501.jpg";1
"ALCB002502.jpg";1
"ALCB002504.jpg";1
"ALCB002506.jpg";1
"ALCB002508.jpg";1
"ALCB002510.jpg";1
"ALCB002511.jpg";1
"ALCB002512.jpg";1
"ALCB002513.jpg";1
"ALCB002518.jpg";1
"ALCB002522.jpg";1
"ALCB002524.jpg";1
"ALCB002524_1.jpg";1
"ALCB002525.jpg";1
"ALCB002527.jpg";1
"ALCB002531.jpg";1
"ALCB002532.jpg";1
"ALCB002536.jpg";1
"ALCB002538.jpg";1
"ESA099493.jpg";1
"ESA100009.jpg";1
"ESA100012.jpg";1
"ESA100031.jpg";1
"ESA100769.jpg";1
"ESA100770.jpg";1
"ESA101801.jpg";1
"ESA102421.jpg";1
"ESA102426.jpg";1
"ESA103428.jpg";1
"ESA103429.jpg";1
"ESA103432.jpg";1
"ESA103435.jpg";1
"ESA103436.jpg";1
"ESA103438.jpg";1
"ESA103439.jpg";1
"ESA103686.jpg";1
"ESA103687.jpg";1
"ESA103688.jpg";1
"ESA107498.jpg";1
"ESA107499.jpg";1
"ESA107500.jpg";1
"ESA107501.jpg";1
"ESA107623.jpg";1
"ESA108633.jpg";1
"ESA110282.jpg";1
"ESA113069.jpg";1
"ESA113070.jpg";1
"ESA113113.jpg";1
"ESA113126.jpg";1
"ESA115969.jpg";1
"ESA116207.jpg";1
"ESA116209.jpg";1
"ESA116293.jpg";1
"ESA116441.jpg";1
"ESA120176.jpg";1
"ESA121200.jpg";1
"ESA121201.jpg";1
"ESA121202.jpg";1
"ESA121206.jpg";1
"ESA121580.jpg";1
"ESA121621.jpg";1
"ESA121913.jpg";1
"ESA121916.jpg";1
"ESA122645.jpg";1
"ESA122672.jpg";1
"ESA122697.jpg";1
"ESA122835.jpg";1
"ESA122836.jpg";1
"ESA122842.jpg";1
"ESA122843.jpg";1
"ESA122942.jpg";1
"ESA124327.jpg";1
"ESA124532.jpg";1
"ESA124534.jpg";1
"ESA125666.jpg";1
"ESA126471.jpg";1
"ESA126480_1.jpg";1
"ESA126480_2.jpg";1
"ESA127337.jpg";1
"ESA146026.jpg";1
"ESA146027.jpg";1
"ESA153715.jpg";1
"ESA153717.jpg";1
"ESA153759.jpg";1
"ESA154194.jpg";1
"EVB000062.jpg";1
"EVB000194.jpg";1
"EVB000213.jpg";1
"EVB000214.jpg";1
"EVB000215.jpg";1
"EVB000226.jpg";1
"EVB000390.jpg";1
"EVB000403.jpg";1
"EVB000653.jpg";1
"EVB000699.jpg";1
"EVB000740.jpg";1
"EVB000946.jpg";1
"EVB001191.jpg";1
"EVB001304.jpg";1
"EVB001440.jpg";1
"EVB001553.jpg";1
"EVB001667.jpg";1
"EVB002375.jpg";1
"EVB003710.jpg";1
"EVB004649.jpg";1
"EVB005294.jpg";1
"FLOR0000171.jpg";1
"FLOR0000174.jpg";1
"FLOR0000175.jpg";1
"FLOR0000178.jpg";1
"FLOR0000179.jpg";1
"FLOR0000188.jpg";1
"FLOR0000190.jpg";1
"FLOR0000192.jpg";1
"FLOR0000195.jpg";1
"FLOR0000206.jpg";1
"FLOR0000209.jpg";1
"FLOR0005271.jpg";1
